price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,merchant_rating,merchant_rating_count,countries_shipped_to,badges_count,badge_fast_shipping,shipping_option_price,title_orig,merchant_name,if_score,mh_score,if_flag,mh_flag
8.0,22,20000,1,3.45,6135,3.8996732762505633,17752,41,0,0,2,Women's Casual Summer Sleeveless Sexy Mini Dress,sarahouse,-0.16070371258919702,2.092569815436041,False,False
8.0,43,100,0,3.57,14,3.989830508474576,295,36,0,0,3,2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,hxt520,-0.23164864760929083,2.1399199142835172,False,False
8.0,8,5000,1,4.03,579,4.020434709634105,23832,41,0,0,2,Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,allenfan,-0.1970442147234912,3.653499029687974,False,False
2.72,3,100,1,3.1,20,4.001588178428394,14482,35,0,0,1,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,happyhorses,-0.18086920230756515,3.7463135278918593,False,False
3.92,9,10,0,5.0,1,3.507692307692308,65,40,0,0,1,Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,zhoulinglinga,-0.07675868554977405,12.556830311631053,False,False
11.0,84,100,1,3.47,15,3.803030303030303,330,36,0,0,2,Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,chenxiangjunjun,-0.22936214582898684,2.3431676880820462,False,False
5.78,22,5000,0,3.6,687,3.999819298879653,5534,33,0,0,2,Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,luoweiclothe,-0.214225318363023,1.6855830492943655,False,False
6.0,8,100,1,3.31,13,3.983783783783784,3515,40,0,0,2,Summer Sexy Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,lanniesdesign,-0.20412973683387414,2.3022168289653457,False,False
1.91,6,1000,1,3.45,141,4.123877917414721,557,38,0,0,1,New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,easymarket,-0.21496729659281016,1.7154376592027467,False,False
5.79,42,1000,0,3.32,121,3.9474719653747785,5083,43,0,0,2,Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,molesfashion,-0.2108881729708002,2.526777937910444,False,False
2.0,2,20000,1,3.65,2457,4.138885385322258,55499,36,0,0,1,2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,pentiumhorse,-0.15147106282901268,4.022515292991982,False,False
11.0,81,1000,0,3.92,426,4.066326401056347,39381,41,0,0,3,Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,pethasboutique,-0.2195801555752201,2.2121059018724636,False,False
5.0,25,100000,1,3.83,17980,3.933581376640354,139223,41,0,0,1,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,leiston,-0.011598607976615827,31.991583548928407,False,False
9.0,9,20000,0,3.82,5479,4.081624337905745,22089,43,0,0,3,5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer Sexy Cutout Back Open Double Layer Tank Top(S-5XL),centper3,-0.09595099108484972,6.445101527291887,False,False
7.0,7,1000,0,3.67,214,4.062360801781737,3592,41,0,0,2,S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,chenqinq,-0.2163422898521642,2.221872619117066,False,False
5.0,6,20000,0,3.6,3552,3.981336637497096,12913,41,0,0,2,Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow Sexy Slim Tank Tops Tee,ouchocoltd,-0.11106466640958013,4.972025663874742,False,False
11.0,26,1000,0,3.38,72,4.231842338352524,4516,51,0,0,2,Dew Design Women Summer Fashion Sexy V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,huaxianglarou,-0.18075743859630727,2.4758995208344614,False,False
9.0,32,1000,0,4.15,567,4.1100585417775415,9395,41,0,0,3,2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,terbuer,-0.1912251959719688,3.2290506665772387,False,False
9.0,9,1000,0,4.03,216,4.22940902745463,4298,60,0,0,3,New Women Lace Crochet Bikini Cover Up Swimwear Bathing Suit Summer Swimwear,coaluss,-0.22272725686127526,2.3654723471639207,False,False
1.74,2,100,1,4.25,12,3.831513948616165,18138,41,0,0,1,2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,memo2,-0.1917119846686851,2.8415873506345974,False,False
5.65,6,1000,0,4.06,301,4.060278646573784,7034,54,0,0,2,4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,meiximeiyo,-0.20305167085250414,2.3279469621659317,False,False
14.0,76,100,0,4.06,31,3.9682688002491777,51369,36,0,0,4,HODMEXI Fashion Love Graffiti Print Summer Dress Short Sleeve Party Dresses Plus Size Women Clothing Vestidos,hotdress,-0.22932075509806982,1.5201046613491325,False,False
5.65,6,1000,1,4.37,217,4.065905390637197,44837,38,1,0,2,Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,newfashionshoppingpark,-0.1823387108916345,3.2433063910709796,False,False
2.66,3,5000,0,3.44,1136,4.3063628061882255,223392,22,0,0,1,Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,maxgoods,-0.14333390433060522,3.1839477352090997,False,False
8.0,17,100,1,2.75,8,4.025364206665138,47981,40,0,0,3,Summer fashion female butterfly tank vest sleeveless round neck casual top,unnistore,-0.16293091594095593,6.12971426240835,False,False
5.8,8,100,1,3.83,6,3.920852995639448,16741,43,0,0,1,Women's Cotton Sleeveless Round Neck Shirt T-Shirt Loose Fit Pattern Print Sweatshirt,cuetaes,-0.20938433178642268,1.9512944945914803,False,False
13.0,13,1000,0,4.16,138,3.981336637497096,12913,41,1,0,3,5 Color Women's Fashion Summer Slim Sleeveless Camouflage Print Dress High Waist Lace Up Casual Pocket Mini Dresses Plus Size S-5XL,ouchocoltd,-0.20834206257863958,2.8214619598395836,False,False
9.0,81,50000,0,4.26,5359,4.105054224804892,59198,40,1,0,3,Sexy Women Casual Striped T-shirt Long Tops Blouse Kaftan Beach Shirt Mini Dress,广州乔莎服饰有限公司,0.008659635365413254,33.042813650462534,True,False
7.0,68,10,0,1.5,2,3.858942065491184,397,43,0,0,2,Women's Summer Fashion Spaghetti Strap Floral Print Tie Front Mini Dress Sexy Dress,wenj498,-0.04902529397178479,20.820185739626933,False,False
